clip_id,hand_side,n_frames,mean_tip_mm,max_pen_mm,mean_pen_mm,jerk
hocap__subject_6__20231025_110808__seg01,left,471,18.123086228461197,28.846909894053308,4.576686316845633,0.8494502580790397
hocap__subject_6__20231025_110808__seg01,right,471,16.4578824710722,21.846049400821375,0.9964395885459912,0.5216618007681597
hocap__subject_6__20231025_110808__seg02,left,244,12.909954716048576,17.623398028042,4.842647912814822,0.5122964373507606
hocap__subject_6__20231025_110808__seg02,right,244,18.559702711156703,11.974750961057389,2.1585023971172057,0.4404743403094843
hocap__subject_6__20231025_110808__seg03,left,418,18.361965105595143,0.0,0.0,0.5388790882176145
hocap__subject_6__20231025_110808__seg03,right,418,15.009707494710348,0.0,0.0,0.5615685396556448
hocap__subject_6__20231025_111118__seg00,right,237,23.60240841507351,13.14186817594383,0.5023131384088264,0.5196290547213155
hocap__subject_6__20231025_111118__seg01,right,279,27.116947112397156,39.22425168600137,19.59014243929535,0.5497065695266138
hocap__subject_6__20231025_111118__seg02,right,285,26.531700773768573,41.48273627842126,18.839863728415956,0.5831925894068783
hocap__subject_6__20231025_111118__seg03,right,275,25.205012581105734,18.658976658550365,3.889569929641053,0.575354982865546
hocap__subject_6__20231025_111357__seg00,right,462,16.91193755540176,31.762593901771357,16.66570889276431,0.7641023621773164
hocap__subject_6__20231025_111357__seg01,right,474,23.721125843881914,31.08471673378417,15.242604719741621,0.9464176377985171
hocap__subject_6__20231025_111357__seg02,right,115,22.179471079620942,0.0,0.0,0.36568379070977386
hocap__subject_6__20231025_111357__seg03,right,123,11.068316493549045,0.0,0.0,0.3090899211252837
hocap__subject_6__20231025_111357__seg04,right,114,12.112890465846883,0.0,0.0,0.1951863122208601
hocap__subject_6__20231025_111357__seg05,right,521,15.467772030436556,23.489303903702858,7.80680063205605,1.0866260301363073
hocap__subject_6__20231025_112229__seg00,left,234,12.667732884021243,14.902522141789373,2.9272514914075716,0.3971078751902248
hocap__subject_6__20231025_112229__seg00,right,234,23.015914618069083,17.203856131522368,3.479008110519719,0.53229139206232
hocap__subject_6__20231025_112229__seg01,left,257,15.319130973783064,22.0219914932629,5.64480700099607,0.3559913124407308
hocap__subject_6__20231025_112229__seg01,right,257,17.349387642853745,16.131809286925975,2.7212499176109954,0.39214209537089784
hocap__subject_6__20231025_112229__seg02,left,288,17.92583070879505,0.0,0.0,0.4717299323385651
hocap__subject_6__20231025_112229__seg02,right,288,20.95338285641884,0.0,0.0,0.4522816723054852
hocap__subject_6__20231025_112229__seg03,left,272,15.691257444237074,0.0,0.0,0.5417153804971563
